"","parameter","par","mean","lower","upper"
"1","alpha_mu","alpha_mu[1]",-0.587529796006878,-1.01518441962912,-0.152447154419774
"2","alpha_mu","alpha_mu[2]",-1.56343356162168,-1.93602118272375,-1.23104942389563
"3","beta","beta[1,1]",-0.47192066673352,-1.81915818445781,0.920936874628252
"4","beta","beta[2,1]",-0.799143678863846,-2.21665373069358,0.221961056066771
"5","beta","beta[3,1]",0.0202199594308878,-1.13979493164568,0.931900320535902
"6","beta","beta[4,1]",0.38362212097336,-0.566287958325203,1.56523978016737
"7","beta","beta[5,1]",-0.188857596989893,-1.37072694039481,1.2852324099489
"8","beta","beta[6,1]",-0.132707741508486,-2.12963707872113,1.67487669307025
"9","beta","beta[1,2]",0,0,0
"10","beta","beta[2,2]",0,0,0
"11","beta","beta[3,2]",0,0,0
"12","beta","beta[4,2]",0,0,0
"13","beta","beta[5,2]",0,0,0
"14","beta","beta[6,2]",0,0,0
"15","beta2","beta2[1,1]",0.0259749643402093,0.01058439856184,0.0452911441766605
"16","beta2","beta2[2,1]",0.0208497191710695,0.00893441902898316,0.035986855632655
"17","beta2","beta2[3,1]",0.0178088536071666,0.00482307098515024,0.0306125410304873
"18","beta2","beta2[4,1]",0.0224023142428073,0.00891491561900526,0.0390136033927085
"19","beta2","beta2[5,1]",0.095173796948136,0.0319761003713594,0.177862764747124
"20","beta2","beta2[6,1]",0.00956067440334604,-0.152089118623492,0.116002149485406
"21","beta2","beta2[1,2]",0,0,0
"22","beta2","beta2[2,2]",0,0,0
"23","beta2","beta2[3,2]",0,0,0
"24","beta2","beta2[4,2]",0,0,0
"25","beta2","beta2[5,2]",0,0,0
"26","beta2","beta2[6,2]",0,0,0
"27","beta2_mu","beta2_mu[1]",0.0322508584618223,-0.0187770873580279,0.0915271055740861
"28","beta2_mu","beta2_mu[2]",0,0,0
"29","beta_mu","beta_mu[1]",-0.148457488174652,-1.08019055221847,0.839051941789139
"30","beta_mu","beta_mu[2]",0,0,0
"31","gamma","gamma[1]",0.929247370164987,0.895830062930779,0.959317558052144
"32","gamma","gamma[2]",0.170241901530625,0.133220234971927,0.206685931794531
"33","theta","theta[1]",-0.0278710107572753,-0.0522770938230837,-0.00614873084702417
"34","theta","theta[2]",0.226868229932287,0.141164584462785,0.320152731018132
