Platform ID No.,Platform,Prg No.,Latitude,Longitude,Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,Alarm,Format name,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31
131117,,13440,-64.10556,-54.1774,,,B,11/03/2016 0:41,0,0,NK,401677359,11/03/2016 0:41,1,1,0,-137,677359,-54.1774,-64.10556,-54.1774,-64.10556,8,3,1738,3407,886,87,4906,N,FORMAT TEMPL. 31X8-A1 #1,181,28,240,210,42,128,204,11,3,55,5,120,120,80,58,51,206,48,189,193,118,61,130,109,143,144,16,52,108,0,0
131117,,13440,-64.0928,-54.00621,,,B,11/03/2016 0:58,0,0,MA,401677370.1,11/03/2016 0:58,1,1,0,-129,677370.1,-54.00621,-64.0928,-54.00621,-64.0928,6,3,14965,67540,3315,83,8620,N,FORMAT TEMPL. 31X8-A1 #1,178,107,64,210,10,0,173,28,89,181,226,17,33,147,255,22,242,100,0,128,80,78,33,155,196,154,10,14,158,0,0
131117,,13440,-64.09315,-54.05748,,,B,11/03/2016 2:15,0,0,NK,401677359,11/03/2016 2:15,1,1,0,-140,677359,-54.05748,-64.09315,-54.05748,-64.09315,8,3,8188,16865,3975,93,5776,N,FORMAT TEMPL. 31X8-A1 #1,185,205,32,214,72,64,156,44,128,166,130,41,4,57,7,147,98,253,79,160,22,175,206,23,207,67,27,162,115,100,93
131117,,13440,-64.11283,-54.07958,,,B,11/03/2016 2:45,0,0,MA,401677341.6,11/03/2016 2:45,1,1,0,-126,677341.6,-54.07958,-64.11283,-54.07958,-64.11283,8,3,12472,46315,3358,80,8790,N,FORMAT TEMPL. 31X8-A1 #1,179,197,80,214,51,1,8,158,67,183,72,249,72,19,56,49,204,17,13,210,100,58,8,78,141,98,172,84,116,0,0
131117,,13440,-64.13413,-54.16576,,,B,11/03/2016 3:12,0,0,NN,401677353.6,11/03/2016 3:12,1,1,0,-137,677353.6,-54.16576,-64.13413,-54.16576,-64.13413,6,3,2742,11838,635,93,7749,N,FORMAT TEMPL. 31X8-A1 #1,191,103,64,213,108,0,234,34,193,198,197,152,54,0,64,10,202,160,37,160,238,65,1,1,94,121,115,77,79,224,250
131117,,13440,-64.12966,-54.15408,,,B,11/03/2016 3:25,0,0,NP,401677350.4,11/03/2016 3:25,1,1,0,-135,677350.4,-54.15408,-64.12966,-54.15408,-64.12966,7,3,2654,9892,712,94,7500,N,FORMAT TEMPL. 31X8-A1 #1,176,162,48,213,87,194,176,134,128,9,13,8,175,38,191,24,126,83,0,185,45,214,105,93,94,0,134,29,202,254,250
131117,,13440,-64.16312,-54.29511,,,B,11/03/2016 4:51,0,0,NN,401677367.4,11/03/2016 4:51,1,1,0,-132,677367.4,-54.29511,-64.16312,-54.29511,-64.16312,8,3,2828,10185,785,92,7994,N,FORMAT TEMPL. 31X8-A1 #1,180,17,96,212,60,128,138,26,128,8,4,40,52,7,186,31,76,148,3,6,113,77,34,137,209,55,19,86,26,174,170
131117,,13440,-64.26031,-54.30924,,,B,11/03/2016 5:02,0,288,NP,401677360.6,11/03/2016 4:59,1,2,0,-128,677360.6,-54.30924,-64.26031,-54.30924,-64.26031,6,3,2243,196579,25,93,6343,N,FORMAT TEMPL. 31X8-A1 #1,48,7,64,210,100,130,40,84,14,54,146,180,118,240,65,136,55,16,94,51,12,132,29,,,,,,,,
131117,,13440,-64.26031,-54.30924,,,B,11/03/2016 5:02,0,288,NP,401677360.6,11/03/2016 5:04,1,2,0,-128,677360.6,-54.30924,-64.26031,-54.30924,-64.26031,6,3,2243,196579,25,93,6343,N,FORMAT TEMPL. 31X8-A1 #1,185,179,160,212,33,65,40,152,198,87,71,208,70,17,56,162,200,232,49,112,231,67,77,24,241,167,6,128,8,0,0
131117,,13440,-64.28575,-54.12669,,,B,11/03/2016 5:35,0,0,NK,401677327.7,11/03/2016 5:35,1,1,0,-133,677327.7,-54.12669,-64.28575,-54.12669,-64.28575,8,2,3030,19744,465,94,4878,N,FORMAT TEMPL. 31X8-A1 #1,220,244,208,211,88,2,233,85,153,152,49,86,238,162,93,209,45,123,223,102,9,243,45,140,114,242,102,149,33,10,219
131117,,13440,-64.26647,-54.2039,,,B,11/03/2016 5:57,0,0,MA,401677334.8,11/03/2016 5:57,1,1,0,-133,677334.8,-54.2039,-64.26647,-54.2039,-64.26647,8,2,2197,14110,342,94,6209,N,FORMAT TEMPL. 31X8-A1 #1,188,110,192,210,233,192,216,163,135,55,74,52,102,174,239,28,235,5,206,30,14,219,140,212,151,137,113,19,21,57,224
131117,,13440,-64.28684,-54.2604,,,B,11/03/2016 6:34,0,342,NN,401677343,11/03/2016 6:31,1,2,0,-130,677343,-54.2604,-64.28684,-54.2604,-64.28684,7,3,2367,204409,27,91,6693,N,FORMAT TEMPL. 31X8-A1 #1,190,56,128,210,195,0,158,10,128,102,133,138,68,6,56,51,207,144,157,194,217,97,1,108,139,66,136,17,96,0,0
131117,,13440,-64.28684,-54.2604,,,B,11/03/2016 6:34,0,342,NN,401677343,11/03/2016 6:37,1,2,0,-130,677343,-54.2604,-64.28684,-54.2604,-64.28684,7,3,2367,204409,27,91,6693,N,FORMAT TEMPL. 31X8-A1 #1,186,109,48,210,185,193,10,40,129,198,198,129,36,11,52,53,76,160,113,161,154,89,1,77,12,145,137,20,108,0,0
131117,,13440,-64.3024,-54.1913,,,B,11/03/2016 7:07,0,0,NK,401677378.8,11/03/2016 7:07,1,1,0,-137,677378.8,-54.1913,-64.3024,-54.1913,-64.3024,5,3,2792,22823,341,91,5901,N,FORMAT TEMPL. 31X8-A1 #1,182,70,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131117,,13440,-64.32171,-53.86276,,,B,11/03/2016 7:37,0,46,MA,401677389.4,11/03/2016 7:37,1,2,0,-131,677389.4,-53.86276,-64.32171,-53.86276,-64.32171,6,3,2677,6890,1040,53,4739,N,FORMAT TEMPL. 31X8-A1 #1,176,187,17,210,193,0,149,22,130,39,9,184,172,16,80,33,129,40,25,145,67,143,65,167,16,174,5,70,57,191,196
131117,,13440,-64.32171,-53.86276,,,B,11/03/2016 7:37,0,46,MA,401677389.4,11/03/2016 7:37,1,2,0,-131,677389.4,-53.86276,-64.32171,-53.86276,-64.32171,6,3,2677,6890,1040,53,4739,N,FORMAT TEMPL. 31X8-A1 #1,191,202,48,210,123,64,164,32,129,38,134,73,36,0,64,44,141,32,185,193,70,37,2,77,140,146,232,13,40,0,0
131117,,13440,-64.3127,-53.98921,,,A,11/03/2016 8:12,0,286,NN,401677374,11/03/2016 8:09,1,3,0,-125,677374,-53.98921,-64.3127,-53.98921,-64.3127,8,3,842,11654,60,96,778,N,FORMAT TEMPL. 31X8-A1 #1,223,251,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131117,,13440,-64.3127,-53.98921,,,A,11/03/2016 8:12,0,286,NN,401677374,11/03/2016 8:12,1,3,0,-125,677374,-53.98921,-64.3127,-53.98921,-64.3127,8,3,842,11654,60,96,778,N,FORMAT TEMPL. 31X8-A1 #1,183,196,64,210,71,192,88,8,128,84,194,240,84,5,176,16,3,82,16,214,118,169,195,98,158,41,75,29,171,142,130
131117,,13440,-64.3127,-53.98921,,,A,11/03/2016 8:12,0,286,NN,401677374,11/03/2016 8:14,1,3,0,-125,677374,-53.98921,-64.3127,-53.98921,-64.3127,8,3,842,11654,60,96,778,N,FORMAT TEMPL. 31X8-A1 #1,187,252,162,210,83,64,88,144,130,87,2,153,114,11,182,15,75,17,85,208,176,100,138,206,138,17,8,17,104,0,0
131117,,13440,-64.33048,-54.01458,,,B,11/03/2016 8:51,0,53,NK,401677360,11/03/2016 8:50,1,2,0,-128,677360,-54.01458,-64.33048,-54.01458,-64.33048,8,2,1724,22454,132,88,1824,N,FORMAT TEMPL. 31X8-A1 #1,178,107,64,210,10,0,173,28,89,181,226,17,33,146,175,22,242,100,0,128,80,78,33,155,196,154,10,14,158,0,0
131117,,13440,-64.33048,-54.01458,,,B,11/03/2016 8:51,0,53,NK,401677360,11/03/2016 8:51,1,2,0,-128,677360,-54.01458,-64.33048,-54.01458,-64.33048,8,2,1724,22454,132,88,1824,N,FORMAT TEMPL. 31X8-A1 #1,219,177,192,210,8,0,240,77,148,31,3,224,15,255,7,135,135,167,234,60,30,31,15,161,176,240,114,177,113,69,252
131117,,13440,-64.35689,-54.14067,,,A,11/03/2016 10:55,0,448,MA,401677372.1,11/03/2016 10:55,1,3,0,-121,677372.1,-54.14067,-64.35689,-54.14067,-64.35689,8,3,316,3304,30,86,834,N,FORMAT TEMPL. 31X8-A1 #1,184,125,32,214,109,128,188,130,153,185,226,228,96,130,46,24,170,36,26,116,141,21,33,3,135,66,18,43,222,0,0
131117,,13440,-64.35689,-54.14067,,,A,11/03/2016 10:55,0,448,MA,401677372.1,11/03/2016 11:00,1,3,0,-121,677372.1,-54.14067,-64.35689,-54.14067,-64.35689,8,3,316,3304,30,86,834,N,FORMAT TEMPL. 31X8-A1 #1,186,203,1,231,102,65,91,112,103,88,153,181,163,203,15,255,241,127,216,20,115,200,199,71,125,252,49,18,20,30,25
131117,,13440,-64.35689,-54.14067,,,A,11/03/2016 10:55,0,448,MA,401677372.1,11/03/2016 11:02,1,3,0,-121,677372.1,-54.14067,-64.35689,-54.14067,-64.35689,8,3,316,3304,30,86,834,N,FORMAT TEMPL. 31X8-A1 #1,186,20,16,214,90,193,62,174,64,8,10,65,132,13,184,76,192,176,113,178,198,29,132,109,139,10,105,154,30,0,0
131117,,13440,-64.3585,-54.18921,,,B,11/03/2016 11:33,0,0,SR,401677396.2,11/03/2016 11:33,1,1,0,-128,677396.2,-54.18921,-64.3585,-54.18921,-64.3585,6,3,838,2328,301,84,2349,N,FORMAT TEMPL. 31X8-A1 #1,186,138,224,214,64,128,80,2,129,103,1,197,130,8,52,19,103,125,102,246,15,143,143,221,28,222,77,158,214,249,13
