"","long","lat","order","piece","id","group"
"1",-44.5941898710167,-60.7160785937527,1,"1","0","0.1"
"2",-44.6869114249793,-60.7620459131359,2,"1","0","0.1"
"3",-45,-60.6093463392935,3,"1","0","0.1"
"4",-45.3130885750207,-60.7620459131359,4,"1","0","0.1"
"5",-45.6227556872063,-60.6076826296682,5,"1","0","0.1"
"6",-45.9391909457356,-60.7586982223932,6,"1","0","0.1"
"7",-46.2453642667683,-60.6026921637078,7,"1","0","0.1"
"8",-46.5650690855923,-60.7520041876766,8,"1","0","0.1"
"9",-46.8676788394342,-60.594376929018,9,"1","0","0.1"
"10",-47.1905738640382,-60.7419665001808,10,"1","0","0.1"
"11",-47.4895529219992,-60.5827402344769,11,"1","0","0.1"
"12",-48.144957464698,-60.8736133307662,12,"1","0","0.1"
"13",-48.439869693746,-60.7118776233886,13,"1","0","0.1"
"14",-48.7722836093798,-60.8551240512401,14,"1","0","0.1"
"15",-49.063365992933,-60.6918384849852,15,"1","0","0.1"
"16",-50.4252263684203,-61.2522963468474,16,"1","0","0.1"
"17",-50.7105931374996,-61.0846908485238,17,"1","0","0.1"
"18",-53.9726266148964,-62.2809811919924,18,"1","0","0.1"
"19",-53.6955028774248,-62.4570602567155,19,"1","0","0.1"
"20",-54.4623222080256,-62.7132055021853,20,"1","0","0.1"
"21",-54.1839192508443,-62.8906920528379,21,"1","0","0.1"
"22",-54.9683561704738,-63.1442055422059,22,"1","0","0.1"
"23",-54.6887865603668,-63.3231210252717,23,"1","0","0.1"
"24",-56.3099324740202,-63.8197320764913,24,"1","0","0.1"
"25",-56.5834186046871,-63.6369695951865,25,"1","0","0.1"
"26",-56.9968993079236,-63.7570700544836,26,"1","0","0.1"
"27",-56.7251120151651,-63.9407910652791,27,"1","0","0.1"
"28",-57.144278049567,-64.0605704458519,28,"1","0","0.1"
"29",-78.146995832256,-71.0666157868214,1,"1","1","1.1"
"30",-78.2875276889125,-70.8466397903056,2,"1","1","1.1"
"31",-78.9590598196763,-70.8909557402666,3,"1","1","1.1"
"32",-79.0888716157166,-70.6704653267369,4,"1","1","1.1"
"33",-79.7559125535414,-70.7116844919219,5,"1","1","1.1"
"34",-79.8753283446022,-70.4907376381053,6,"1","1","1.1"
"35",-80.5376777919744,-70.528912404948,7,"1","1","1.1"
"36",-80.6470207499067,-70.307564648696,8,"1","1","1.1"
"37",-81.3044971225752,-70.3427479416589,9,"1","1","1.1"
"38",-81.404088563079,-70.1210524233292,10,"1","1","1.1"
"39",-84.0256767135194,-70.2348068072008,11,"1","1","1.1"
"40",-84.0938588862295,-70.0118383639894,12,"1","1","1.1"
"41",-86.7107573215082,-70.083718563986,13,"1","1","1.1"
"42",-86.7480543996361,-69.8600116850318,14,"1","1","1.1"
"43",-88.6980473274211,-69.8867147256122,15,"1","1","1.1"
"44",-88.712671058475,-69.6628316714166,16,"1","1","1.1"
"45",-89.3562542858246,-69.6666041030303,17,"1","1","1.1"
"46",-89.3634064240365,-69.4428262705083,18,"1","1","1.1"
"47",-90,-69.4440691001605,19,"1","1","1.1"
"48",-90,-69.2204289171197,20,"1","1","1.1"
"49",-91.0063152517546,-69.2172906581927,21,"1","1","1.1"
"50",-67.7509763427876,-68.3098302486681,1,"1","2","2.1"
"51",-69.4439547804165,-68.5539984208164,2,"1","2","2.1"
"52",-69.2277453179542,-68.7628123680786,3,"1","2","2.1"
"53",-69.805665754816,-68.8409440260192,4,"1","2","2.1"
"54",-69.590117166196,-69.0504405891871,5,"1","2","2.1"
"55",-70.1775354296348,-69.127299350525,6,"1","2","2.1"
"56",-72.75854060106,-69.1995579941263,1,"1","3","3.1"
"57",-73.3007557660064,-68.5587465538201,2,"1","3","3.1"
"58",-73.8865817669107,-68.6217679386237,3,"1","3","3.1"
"59",-73.7150775281166,-68.8361268542078,4,"1","3","3.1"
"60",-74.3100070709161,-68.8976354659302,5,"1","3","3.1"
"61",-73.967660646064,-69.3275969895529,6,"1","3","3.1"
"62",-74.5778386812613,-69.3882221534563,7,"1","3","3.1"
"63",-74.4071890607337,-69.6038287816239,8,"1","3","3.1"
