"","long","lat","order","piece","id","group"
"1",-45.8264189593164,-60.1020817171747,1,"1","0","0.1"
"2",-45.9191047837142,-60.1469394568312,2,"1","0","0.1"
"3",-46.2188752351313,-59.9914188738954,3,"1","0","0.1"
"4",-46.531607792011,-60.1404063253425,4,"1","0","0.1"
"5",-46.827968244305,-59.983302628772,5,"1","0","0.1"
"6",-47.1437608652234,-60.1306097873307,6,"1","0","0.1"
"7",-47.4366482468101,-59.9719442383905,7,"1","0","0.1"
"8",-48.0774553994244,-60.2623636920213,8,"1","0","0.1"
"9",-48.3664606634298,-60.1012428843935,9,"1","0","0.1"
"10",-50.0240752585396,-60.8081222731298,10,"1","0","0.1"
"11",-50.3073268493312,-60.641810790194,11,"1","0","0.1"
"12",-50.992527447879,-60.9165277521072,12,"1","0","0.1"
"13",-51.2710774495011,-60.7478213274039,13,"1","0","0.1"
"14",-52.6789638073687,-61.2821933726997,14,"1","0","0.1"
"15",-52.950773426393,-61.1092925336996,15,"1","0","0.1"
"16",-53.6731740478798,-61.3686716572854,16,"1","0","0.1"
"17",-53.9395650031515,-61.1934624189195,17,"1","0","0.1"
"18",-56.1817542101967,-61.9405434013338,18,"1","0","0.1"
"19",-56.4372562189076,-61.7594630626184,19,"1","0","0.1"
"20",-60.0183606311507,-62.7931374397041,20,"1","0","0.1"
"21",-59.7781617329374,-62.9822299880216,21,"1","0","0.1"
"22",-60.6158428740487,-63.1996806853276,22,"1","0","0.1"
"23",-60.3762512488262,-63.3902189048362,23,"1","0","0.1"
"24",-60.8025139539355,-63.4977914527147,24,"1","0","0.1"
"25",-60.3168598208767,-63.8797052855531,25,"1","0","0.1"
"26",-66.434604129418,-66.6483809483319,1,"1","1","1.1"
"27",-67.0871716032283,-66.0379228229431,2,"1","1","1.1"
"28",-67.5901626285067,-66.1231654616783,3,"1","1","1.1"
"29",-68.3944727573615,-65.3037370766507,4,"1","1","1.1"
"30",-67.9057696584172,-65.2216382420302,5,"1","1","1.1"
"31",-68.101807194361,-65.0172139612772,6,"1","1","1.1"
"32",-67.6198649480404,-64.9341709419414,7,"1","1","1.1"
"33",-67.81598665473,-64.7303797918664,8,"1","1","1.1"
"34",-67.3406479599941,-64.6464220032606,9,"1","1","1.1"
"35",-67.5367875105929,-64.4432609470915,10,"1","1","1.1"
"36",-67.0678995624102,-64.3584168462401,11,"1","1","1.1"
"37",-67.6468023130106,-63.7504340590448,12,"1","1","1.1"
"38",-69.5026594519982,-64.0711410924825,13,"1","1","1.1"
"39",-69.6768631703371,-63.865411763716,14,"1","1","1.1"
"40",-70.144785630679,-63.9407910652791,15,"1","1","1.1"
"41",-69.9739109058834,-64.147201576704,16,"1","1","1.1"
"42",-70.9249015075545,-64.2942635498619,17,"1","1","1.1"
"43",-70.7581217219756,-64.501960100585,18,"1","1","1.1"
"44",-71.2413496521578,-64.5735838771757,19,"1","1","1.1"
"45",-71.0753555839488,-64.7818976026138,20,"1","1","1.1"
"46",-72.0575529108413,-64.9211922167459,21,"1","1","1.1"
"47",-71.8962369654934,-65.1307738833914,22,"1","1","1.1"
"48",-75.9637565320735,-65.6197772703439,23,"1","1","1.1"
"49",-76.0922221901453,-65.4055177372154,24,"1","1","1.1"
"50",-77.6446401349165,-65.555997722359,25,"1","1","1.1"
"51",-77.7576688011256,-65.3403238706742,26,"1","1","1.1"
"52",-78.2748879848349,-65.3861431106383,27,"1","1","1.1"
"53",-78.3814756472054,-65.170102605439,28,"1","1","1.1"
"54",-79.9309373011106,-65.2945998700952,29,"1","1","1.1"
"55",-79.7431801583036,-65.7292539827075,30,"1","1","1.1"
"56",-80.2724214485984,-65.7675977112163,31,"1","1","1.1"
"57",-80.0872485532762,-66.2034554516901,32,"1","1","1.1"
"58",-80.6279072914209,-66.2405326573793,33,"1","1","1.1"
"59",-80.5376777919744,-66.4590036486387,34,"1","1","1.1"
"60",-81.0850730428521,-66.4943829858625,35,"1","1","1.1"
"61",-81.1702553320909,-66.2755502022185,36,"1","1","1.1"
"62",-82.2596588411621,-66.339366116086,37,"1","1","1.1"
"63",-82.3331957381858,-66.1200022836026,38,"1","1","1.1"
"64",-83.418055344822,-66.1748968893552,39,"1","1","1.1"
"65",-83.480198248343,-65.9551091274492,40,"1","1","1.1"
"66",-85.6430249941537,-66.0389731421426,41,"1","1","1.1"
"67",-85.6012946450045,-66.2596260161241,42,"1","1","1.1"
"68",-86.1493611760892,-66.2755502022185,43,"1","1","1.1"
"69",-86.1120904391669,-66.4965290878727,44,"1","1","1.1"
"70",-86.6661493384634,-66.5104840547821,45,"1","1","1.1"
"71",-86.6335393365702,-66.7317711228824,46,"1","1","1.1"
"72",-87.1936297482118,-66.7437110479364,47,"1","1","1.1"
"73",-87.2736890060937,-66.0799756696712,48,"1","1","1.1"
"74",-87.8183585964485,-66.0894489142065,49,"1","1","1.1"
"75",-87.8389205117736,-65.8684435285298,50,"1","1","1.1"
"76",-88.9190758133393,-65.8809520164266,51,"1","1","1.1"
"77",-88.9087837747374,-66.1020864124697,52,"1","1","1.1"
"78",-90,-66.1063005659259,53,"1","1","1.1"
"79",-90,-66.3276522167353,54,"1","1","1.1"
"80",-90.5509039792186,-66.3265876361906,55,"1","1","1.1"
"81",-90.5617053325665,-66.7697853839868,56,"1","1","1.1"
"82",-90.8978098951282,-66.7680949767043,57,"1","1","1.1"
