"","long","lat","order","piece","id","group"
"1",-45.2169789646269,-60.4105086805022,1,"1","2","2.1"
"2",-45.3097038999588,-60.4559184021317,2,"1","2","2.1"
"3",-45.6160599083992,-60.301777665035,3,"1","2","2.1"
"4",-45.9290393194221,-60.4526113742612,4,"1","2","2.1"
"5",-46.2319774026397,-60.2968475507734,5,"1","2","2.1"
"6",-46.548157698978,-60.4459986232934,6,"1","2","2.1"
"7",-47.1437608652234,-60.1306097873307,7,"1","2","2.1"
"8",-47.7851664221144,-60.4228676794893,8,"1","2","2.1"
"9",-48.0774553994244,-60.2623636920213,9,"1","2","2.1"
"10",-53.6955028774248,-62.4570602567155,10,"1","2","2.1"
"11",-53.4146817003066,-62.6326379290897,11,"1","2","2.1"
"12",-54.9683561704738,-63.1442055422059,12,"1","2","2.1"
"13",-54.6887865603668,-63.3231210252717,13,"1","2","2.1"
"14",-56.3099324740202,-63.8197320764913,14,"1","2","2.1"
"15",-56.5834186046871,-63.6369695951865,15,"1","2","2.1"
"16",-16.3256313370353,-69.7638650662214,1,"1","3","3.1"
"17",-18.2324910807038,-69.5575093227473,2,"1","3","3.1"
"18",-18.434948822922,-69.7700119033404,3,"1","3","3.1"
"19",-20.2564621745231,-69.5475092341462,4,"1","3","3.1"
"20",-20.4803573118092,-69.7573706139936,5,"1","3","3.1"
"21",-22.275897848259,-69.512550539877,6,"1","3","3.1"
"22",-22.5205656028969,-69.7194978495725,7,"1","3","3.1"
"23",-24.8636965717519,-69.359741399977,8,"1","3","3.1"
"24",-24.5997906051575,-69.1566598769607,9,"1","3","3.1"
"25",-31.5689711293183,-67.7891394775824,10,"1","3","3.1"
"26",-31.8795968470227,-67.9784934144433,11,"1","3","3.1"
"27",-32.8762617522106,-67.7400829125656,12,"1","3","3.1"
"28",-33.1975657922165,-67.9266747201808,13,"1","3","3.1"
"29",-33.6900675259798,-67.8039939685467,14,"1","3","3.1"
"30",-34.0193499898265,-67.9888732025532,15,"1","3","3.1"
"31",-34.9920201985587,-67.7366647906388,16,"1","3","3.1"
"32",-35.3313313389164,-67.918626016421,17,"1","3","3.1"
"33",-37.2164404735346,-67.3921173454776,18,"1","3","3.1"
"34",-36.869897645844,-67.2147727200444,19,"1","3","3.1"
"35",-37.3255204831061,-67.0808257396593,20,"1","3","3.1"
"36",-36.6456491646203,-66.7263461267173,21,"1","3","3.1"
"37",-37.5348091438786,-66.4590036486387,22,"1","3","3.1"
"38",-37.1998121158183,-66.2829855575624,23,"1","3","3.1"
"39",-37.6352537550174,-66.1484876997209,24,"1","3","3.1"
"40",-37.3039482779834,-65.9729029333852,25,"1","3","3.1"
"41",-37.7330455941883,-65.8382445106253,26,"1","3","3.1"
"42",-37.4053566314086,-65.6630889961855,27,"1","3","3.1"
"43",-37.8282878346129,-65.5282808724968,28,"1","3","3.1"
"44",-37.5041423602701,-65.3535507337958,29,"1","3","3.1"
"45",-37.9210783953878,-65.21860340389,30,"1","3","3.1"
"46",-37.6004053401129,-65.0442949518364,31,"1","3","3.1"
"47",-38.0115102700165,-64.9092185596847,32,"1","3","3.1"
"48",-37.3814535124311,-64.5608122931124,33,"1","3","3.1"
"49",-38.1856471105903,-64.2913517944509,34,"1","3","3.1"
"50",-37.8749836510982,-64.1182880047958,35,"1","3","3.1"
"51",-39.8055710922652,-63.4303835260597,36,"1","3","3.1"
"52",-39.4945221420217,-63.261783513766,37,"1","3","3.1"
"53",-40.2363583092738,-62.9813128487965,38,"1","3","3.1"
"54",-39.8366139960008,-62.7640663530652,39,"1","3","3.1"
