"","long","lat","order","piece","id","group"
"1",-41.9637294513645,-61.9072255706189,1,"1","0","0.1"
"2",-42.0559536500124,-61.9554749356877,2,"1","0","0.1"
"3",-42.3974377975002,-61.8091913035359,3,"1","0","0.1"
"4",-42.7093899573615,-61.9695365552678,4,"1","0","0.1"
"5",-43.0474909506004,-61.8214208227808,5,"1","0","0.1"
"6",-43.3634229583833,-61.9800881299085,6,"1","0","0.1"
"7",-44.0289780689208,-61.6794135043739,7,"1","0","0.1"
"8",-44.3489396197705,-61.8354049531826,8,"1","0","0.1"
"9",-44.6762984750798,-61.6828884606163,9,"1","0","0.1"
"10",-44.3562542858246,-61.5278659996584,10,"1","0","0.1"
"11",-44.6799151762183,-61.3755344300216,11,"1","0","0.1"
"12",-45,-61.5295926780909,12,"1","0","0.1"
"13",-45.3200848237817,-61.3755344300216,13,"1","0","0.1"
"14",-45.6437457141754,-61.5278659996584,14,"1","0","0.1"
"15",-45.9601745666663,-61.3721028042217,15,"1","0","0.1"
"16",-46.287328941525,-61.5226866945714,16,"1","0","0.1"
"17",-47.5168756569395,-60.8887511455545,17,"1","0","0.1"
"18",-49.5480424091254,-61.7516205134636,18,"1","0","0.1"
"19",-49.8440003750807,-61.5857761273981,19,"1","0","0.1"
"20",-50.1944289077348,-61.7254969037634,20,"1","0","0.1"
"21",-50.4861564250043,-61.5581004650625,21,"1","0","0.1"
"22",-52.2889523236101,-62.2373847867267,22,"1","0","0.1"
"23",-52.5729486405434,-62.0646667735702,23,"1","0","0.1"
"24",-54.8513273428081,-62.8395852854666,24,"1","0","0.1"
"25",-54.5742278850918,-63.0180262814259,25,"1","0","0.1"
"26",-54.9683561704738,-63.1442055422059,26,"1","0","0.1"
"27",-54.6887865603668,-63.3231210252717,27,"1","0","0.1"
"28",-55.8987258057529,-63.6974146518134,28,"1","0","0.1"
"29",-15.3013111398359,-68.4736185003664,1,"1","1","1.1"
"30",-16.5257963899256,-68.3450306424023,2,"1","1","1.1"
"31",-16.6992442339936,-68.5587465538201,3,"1","1","1.1"
"32",-19.0059841960368,-68.2852270823902,4,"1","1","1.1"
"33",-19.2039735055001,-68.4959266200786,5,"1","1","1.1"
"34",-19.7760766026392,-68.4215134775515,6,"1","1","1.1"
"35",-19.9831065219,-68.6312982106497,7,"1","1","1.1"
"36",-21.1247191460725,-68.4746370605727,8,"1","1","1.1"
"37",-21.3457866490898,-68.6826030220606,9,"1","1","1.1"
