"","Draw","chain","Animal","runs","Behavior","hours","status"
"1",1,1,1,2,"Foraging",16,1
"2",1,1,1,2,"Foraging",16,1
"3",1,1,1,6,"Foraging",48,1
"4",1,1,1,1,"Foraging",8,1
"5",1,1,1,2,"Foraging",16,1
"6",1,1,1,1,"Foraging",8,1
"7",1,1,1,5,"Foraging",40,1
"8",1,1,1,1,"Foraging",8,1
"9",1,1,1,4,"Foraging",32,1
"10",1,1,1,9,"Foraging",72,1
"11",1,1,1,4,"Foraging",32,1
"12",1,1,1,4,"Foraging",32,1
"13",1,1,1,6,"Foraging",48,1
"14",1,1,1,4,"Foraging",32,1
"15",1,1,1,1,"Foraging",8,1
"16",1,1,1,3,"Foraging",24,1
"17",1,1,1,4,"Foraging",32,1
"18",1,1,1,1,"Foraging",8,1
"19",1,1,1,1,"Foraging",8,1
"20",1,1,1,1,"Foraging",8,1
"21",1,1,1,1,"Foraging",8,1
"22",1,1,1,4,"Foraging",32,1
"23",1,1,1,3,"Foraging",24,1
"24",1,1,1,6,"Foraging",48,1
"25",1,1,1,2,"Foraging",16,1
"26",1,1,1,13,"Foraging",104,1
"27",1,1,1,5,"Foraging",40,1
"28",1,1,1,8,"Foraging",64,1
"29",1,1,1,10,"Foraging",80,1
"30",1,1,1,2,"Foraging",16,1
"31",1,1,1,4,"Foraging",32,1
"32",1,1,1,3,"Foraging",24,1
"33",1,1,1,3,"Foraging",24,1
"34",1,1,1,4,"Foraging",32,1
"35",1,1,1,4,"Foraging",32,1
"36",1,1,1,4,"Foraging",32,1
"37",1,1,1,5,"Foraging",40,1
"38",1,1,1,6,"Foraging",48,0
"39",1,1,2,2,"Foraging",16,1
"40",1,1,2,18,"Foraging",144,1
"41",1,1,2,14,"Foraging",112,1
"42",1,1,2,1,"Foraging",8,1
"43",1,1,2,6,"Foraging",48,1
"44",1,1,2,11,"Foraging",88,1
"45",1,1,2,1,"Foraging",8,1
"46",1,1,2,3,"Foraging",24,1
"47",1,1,2,4,"Foraging",32,1
"48",1,1,2,5,"Foraging",40,1
"49",1,1,2,6,"Foraging",48,1
"50",1,1,2,1,"Foraging",8,1
"51",1,1,2,6,"Foraging",48,1
"52",1,1,2,3,"Foraging",24,0
"53",1,1,3,4,"Foraging",32,1
"54",1,1,3,2,"Foraging",16,1
"55",1,1,3,1,"Foraging",8,1
"56",1,1,3,2,"Foraging",16,1
"57",1,1,3,6,"Foraging",48,1
"58",1,1,3,1,"Foraging",8,1
"59",1,1,3,2,"Foraging",16,1
"60",1,1,3,2,"Foraging",16,1
"61",1,1,3,3,"Foraging",24,1
"62",1,1,3,2,"Foraging",16,1
"63",1,1,3,1,"Foraging",8,1
"64",1,1,3,2,"Foraging",16,1
"65",1,1,3,4,"Foraging",32,1
"66",1,1,3,1,"Foraging",8,1
"67",1,1,3,2,"Foraging",16,1
"68",1,1,3,2,"Foraging",16,1
"69",1,1,3,3,"Foraging",24,1
"70",1,1,3,1,"Foraging",8,1
"71",1,1,3,1,"Foraging",8,1
"72",1,1,3,1,"Foraging",8,1
"73",1,1,3,1,"Foraging",8,1
"74",1,1,3,2,"Foraging",16,1
"75",1,1,3,1,"Foraging",8,1
"76",1,1,3,2,"Foraging",16,1
"77",1,1,3,2,"Foraging",16,1
"78",1,1,3,1,"Foraging",8,1
"79",1,1,3,4,"Foraging",32,1
"80",1,1,3,1,"Foraging",8,1
"81",1,1,3,2,"Foraging",16,1
"82",1,1,3,4,"Foraging",32,1
"83",1,1,3,2,"Foraging",16,1
"84",1,1,3,1,"Foraging",8,1
"85",1,1,3,3,"Foraging",24,1
"86",1,1,3,4,"Foraging",32,1
"87",1,1,3,1,"Foraging",8,1
"88",1,1,3,3,"Foraging",24,1
"89",1,1,3,1,"Foraging",8,0
"90",1,1,4,4,"Foraging",32,1
"91",1,1,4,2,"Foraging",16,1
"92",1,1,4,1,"Foraging",8,1
"93",1,1,4,1,"Foraging",8,1
"94",1,1,4,1,"Foraging",8,1
"95",1,1,4,4,"Foraging",32,1
"96",1,1,4,2,"Foraging",16,1
"97",1,1,4,1,"Foraging",8,1
"98",1,1,4,4,"Foraging",32,1
"99",1,1,4,1,"Foraging",8,1
"100",1,1,4,1,"Foraging",8,1
"101",1,1,4,2,"Foraging",16,1
"102",1,1,4,2,"Foraging",16,1
"103",1,1,4,3,"Foraging",24,1
"104",1,1,4,8,"Foraging",64,1
"105",1,1,4,4,"Foraging",32,1
"106",1,1,4,2,"Foraging",16,1
"107",1,1,4,3,"Foraging",24,1
"108",1,1,4,3,"Foraging",24,1
"109",1,1,4,4,"Foraging",32,1
"110",1,1,4,2,"Foraging",16,1
"111",1,1,4,1,"Foraging",8,1
"112",1,1,4,3,"Foraging",24,1
"113",1,1,4,3,"Foraging",24,1
"114",1,1,4,7,"Foraging",56,1
"115",1,1,4,4,"Foraging",32,1
"116",1,1,4,2,"Foraging",16,1
"117",1,1,4,1,"Foraging",8,1
"118",1,1,4,1,"Foraging",8,1
"119",1,1,4,4,"Foraging",32,1
"120",1,1,4,2,"Foraging",16,1
"121",1,1,4,1,"Foraging",8,1
"122",1,1,4,4,"Foraging",32,1
"123",1,1,4,3,"Foraging",24,1
"124",1,1,4,1,"Foraging",8,1
"125",1,1,4,4,"Foraging",32,1
"126",1,1,4,1,"Foraging",8,0
"127",1,1,5,2,"Foraging",16,1
"128",1,1,5,3,"Foraging",24,1
"129",1,1,5,1,"Foraging",8,1
"130",1,1,5,3,"Foraging",24,1
"131",1,1,5,5,"Foraging",40,1
"132",1,1,5,4,"Foraging",32,1
"133",1,1,5,1,"Foraging",8,1
"134",1,1,5,14,"Foraging",112,1
"135",1,1,5,5,"Foraging",40,1
"136",1,1,5,2,"Foraging",16,1
"137",1,1,5,7,"Foraging",56,1
"138",1,1,5,1,"Foraging",8,1
"139",1,1,5,2,"Foraging",16,1
"140",1,1,5,2,"Foraging",16,1
"141",1,1,5,1,"Foraging",8,1
"142",1,1,5,1,"Foraging",8,1
"143",1,1,5,2,"Foraging",16,1
"144",1,1,5,1,"Foraging",8,1
"145",1,1,5,3,"Foraging",24,1
"146",1,1,5,1,"Foraging",8,1
"147",1,1,5,1,"Foraging",8,1
"148",1,1,5,2,"Foraging",16,1
"149",1,1,5,1,"Foraging",8,1
"150",1,1,5,17,"Foraging",136,1
"151",1,1,5,1,"Foraging",8,1
"152",1,1,5,1,"Foraging",8,1
"153",1,1,5,1,"Foraging",8,1
"154",1,1,5,1,"Foraging",8,1
"155",1,1,5,6,"Foraging",48,1
"156",1,1,5,2,"Foraging",16,1
"157",1,1,6,6,"Foraging",48,1
"158",1,1,6,13,"Foraging",104,1
"159",1,1,6,13,"Foraging",104,1
"160",1,1,6,3,"Foraging",24,1
"161",1,1,6,2,"Foraging",16,1
"162",1,1,6,1,"Foraging",8,1
"163",1,1,6,8,"Foraging",64,1
"164",1,1,6,7,"Foraging",56,0
"165",1,1,8,2,"Foraging",16,1
"166",1,1,8,4,"Foraging",32,1
"167",1,1,8,1,"Foraging",8,1
"168",1,1,8,4,"Foraging",32,1
"169",1,1,8,14,"Foraging",112,1
"170",1,1,8,1,"Foraging",8,1
"171",1,1,8,4,"Foraging",32,0
"172",1,1,9,6,"Foraging",48,1
"173",1,1,9,1,"Foraging",8,1
"174",1,1,9,4,"Foraging",32,1
"175",1,1,9,6,"Foraging",48,1
"176",1,1,9,9,"Foraging",72,1
"177",1,1,9,4,"Foraging",32,1
"178",1,1,9,8,"Foraging",64,1
"179",1,1,9,3,"Foraging",24,1
"180",1,1,9,4,"Foraging",32,1
"181",1,1,9,2,"Foraging",16,1
"182",1,1,9,2,"Foraging",16,1
"183",1,1,9,1,"Foraging",8,1
"184",1,1,9,1,"Foraging",8,1
"185",1,1,9,3,"Foraging",24,1
"186",1,1,9,1,"Foraging",8,1
"187",1,1,9,1,"Foraging",8,1
"188",1,1,9,1,"Foraging",8,1
"189",1,1,9,2,"Foraging",16,1
"190",1,1,9,1,"Foraging",8,1
"191",1,1,9,2,"Foraging",16,1
"192",1,1,9,1,"Foraging",8,1
"193",1,1,9,1,"Foraging",8,1
"194",1,1,9,2,"Foraging",16,1
"195",1,1,9,1,"Foraging",8,1
"196",1,1,9,8,"Foraging",64,1
"197",1,1,9,2,"Foraging",16,1
"198",1,1,9,1,"Foraging",8,1
"199",1,1,9,1,"Foraging",8,1
"200",1,1,9,2,"Foraging",16,1
"201",1,1,9,5,"Foraging",40,1
"202",1,1,9,1,"Foraging",8,1
"203",1,1,9,1,"Foraging",8,1
"204",1,1,9,1,"Foraging",8,1
"205",1,1,9,2,"Foraging",16,1
"206",1,1,9,7,"Foraging",56,1
"207",1,1,9,5,"Foraging",40,1
"208",1,1,9,8,"Foraging",64,1
