"","x","y","Animal","Month","Year"
"1",-62.299,-64.546,131127,"April",2016
"2",-62.297,-64.544,131127,"April",2016
"3",-62.368,-64.506,131127,"April",2016
"4",-62.317,-64.508,131127,"April",2016
"5",-62.198,-64.444,131127,"April",2016
"6",-62.198,-64.444,131127,"April",2016
"7",-62.097,-64.405,131127,"April",2016
"8",-62.063,-64.388,131127,"April",2016
"9",-62.038,-64.365,131127,"April",2016
"10",-62.027,-64.357,131127,"April",2016
"11",-62.037,-64.348,131127,"April",2016
"12",-61.973,-64.33,131127,"April",2016
"13",-61.939,-64.28,131127,"April",2016
"14",-61.916,-64.272,131127,"April",2016
"15",-61.893,-64.263,131127,"April",2016
"16",-61.893,-64.243,131127,"April",2016
"17",-61.947,-64.2,131127,"April",2016
"18",-61.845,-64.165,131127,"April",2016
"19",-61.878,-64.164,131127,"April",2016
"20",-61.891,-64.151,131127,"April",2016
"21",-61.888,-64.141,131127,"April",2016
"22",-61.884,-64.112,131127,"April",2016
"23",-61.842,-64.082,131127,"April",2016
"24",-61.828,-64.07,131127,"April",2016
"25",-61.815,-64.068,131127,"April",2016
"26",-61.825,-64.054,131127,"April",2016
"27",-61.799,-64.017,131127,"April",2016
"28",-61.763,-64.007,131127,"April",2016
"29",-61.772,-63.99,131127,"April",2016
"30",-61.757,-63.998,131127,"April",2016
"31",-61.742,-63.97,131127,"April",2016
"32",-61.736,-63.928,131127,"April",2016
"33",-61.761,-63.938,131127,"April",2016
"34",-61.796,-63.877,131127,"April",2016
"35",-61.782,-63.821,131127,"April",2016
"36",-61.816,-63.835,131127,"April",2016
"37",-61.81,-63.8,131127,"April",2016
"38",-61.769,-63.702,131127,"April",2016
"39",-61.753,-63.642,131127,"April",2016
"40",-61.763,-63.605,131127,"April",2016
"41",-61.748,-63.231,131127,"April",2016
"42",-61.772,-63.136,131127,"April",2016
"43",-62.172,-62.986,131127,"April",2016
"44",-62.164,-62.835,131127,"April",2016
"45",-62.073,-62.773,131127,"April",2016
"46",-62.023,-62.495,131127,"April",2016
"47",-61.985,-62.388,131127,"April",2016
"48",-61.455,-62.61,131127,"April",2016
"49",-61.445,-62.596,131127,"April",2016
"50",-61.444,-62.6,131127,"April",2016
"51",-61.452,-62.601,131127,"April",2016
"52",-61.442,-62.594,131127,"April",2016
"53",-61.453,-62.64,131127,"April",2016
"54",-61.437,-62.606,131127,"April",2016
"55",-61.455,-62.636,131127,"April",2016
"56",-61.437,-62.61,131127,"April",2016
"57",-61.46,-62.61,131127,"April",2016
"58",-61.452,-62.599,131127,"April",2016
"59",-61.373,-62.641,131127,"April",2016
"60",-61.374,-62.63,131127,"April",2016
"61",-61.34,-62.564,131127,"April",2016
"62",-61.355,-62.556,131127,"April",2016
"63",-61.303,-62.534,131127,"April",2016
"64",-61.282,-62.522,131127,"April",2016
"65",-61.28,-62.487,131127,"April",2016
"66",-61.295,-62.524,131127,"April",2016
